Location,Avg. Utilization Rate,Course Waitlist,Visits,Coordinates
Eglinton Flats,0.833333333,28,2678,"43.6838522,-79.49358860000001"
Monarch Park,0.83494152,25,2106,"43.6781625,-79.32789600000001"
St. Andrews JH,0.836666667,10,909,"43.7516725,-79.39002160000001"
Swansea Community Recreation Centre,0.836758621,105,7481,"43.64396319999999,-79.4775952"
St. Marcellus CSS,0.837630952,180,8050,"43.67951739999999,-79.55419749999999"
Hillcrest Community Centre,0.845624814,167,5214,"43.6727097,-79.4056784"
Keele Community Centre,0.845884544,52,6092,"43.6579525,-79.46212639999999"
John Innes Community Recreation Centre,0.847427984,118,3528,"43.6549206,-79.37084279999999"
Blessed Margarita CS,0.847619048,12,850,"43.7436858,-79.5078221"
Georges Vanier Secondary School,0.848481912,91,6561,"43.7843046,-79.35148400000003"
Mary McCormick Recreation Centre,0.849286321,101,6715,"43.64726100000001,-79.43329130000001"
Sunnyside - Gus Ryder Outdoor Pool,0.849626866,42,2094,"43.6374204,-79.45825880000001"
Domenico DiLuca Community Centre,0.851315789,11,1761,"43.7419,-79.51572870000001"
Regent Park North Recreation Centre,0.857142857,0,120,"43.6622008,-79.3623078"
Victoria Park SS,0.858156028,52,4905,"43.7557513,-79.32155799999998"
Humber Community Pool - Indoor Pool,0.85882734,227,6812,"43.7287136,-79.60739460000002"
Oakdale Community Centre,0.858950617,272,4030,"43.7487465,-79.51291759999998"
Alderwood Pool,0.859037559,53,5707,"43.6017142,-79.54717249999999"
George Webster ES,0.859090909,29,703,"43.7015828,-79.29972350000003"
Leaside Memorial Gardens Pool,0.860981912,159,6611,"43.7020811,-79.36010799999997"
Wellesley Community Centre,0.861153846,414,3456,"43.6678691,-79.3745381"
Humbercrest United Church,0.863636364,0,152,"43.658189,-79.49024959999997"
Westgrove Park - Outdoor Pool,0.86404321,15,1926,"43.68228970000001,-79.56982629999999"
Pleasantview Community Centre,0.864130435,36,1315,"43.78748239999999,-79.33652219999999"
Greenwood Park,0.866404762,26,1972,"43.6684952,-79.32675169999999"
Centennial Rd  JES,0.866666667,4,435,"43.7853934,-79.14938540000003"
Sir Adam Beck JS,0.866825397,25,1463,"43.6012496,-79.54857749999996"
Grandravine Park,0.867857143,48,2294,"43.7525206,-79.48972229999998"
Broadlands Community Centre,0.869318182,5,967,"43.7462809,-79.32155799999998"
Glamorgan JES,0.86969697,76,1283,"43.77103820000001,-79.28915660000001"
Ancaster Community Centre,0.870281385,84,3563,"43.7337215,-79.46581809999998"
Centennial Recreation Centre - Etobicoke,0.871091445,154,8583,"43.6909825,-79.47777099999996"
Immaculate Conception CS,0.871666667,2,1196,"43.6967429,-79.48075899999998"
Fairmount Park Community Centre,0.872453704,23,1758,"43.6761778,-79.31469119999997"
Agincourt Recreation Centre,0.873737981,909,21557,"43.7880426,-79.27506549999998"
Holy Redeemer CSS,0.875,1,1087,"43.8069813,-79.36309979999999"
Ken Cox Community Centre,0.876041667,12,2827,"43.5909744,-79.51608010000001"
The Elms Community School,0.879672377,"3,097",14408,"43.72223289999999,-79.55296820000001"
Main Square Community Centre,0.881367684,309,8218,"43.6866214,-79.3005159"
Trinity Community Recreation Centre,0.881419695,308,8294,"43.6480604,-79.41482500000001"
Cedarbrae Collegiate Institute,0.883606557,128,3393,"43.7568108,-79.22643499999998"
Annette Community Recreation Centre,0.884629664,366,9340,"43.6551041,-79.45940150000001"
Heron Park Community Centre,0.886675824,"1,149",6813,"43.7680142,-79.17636879999998"
Topham Park,0.886805556,22,1642,"43.7113316,-79.3072957"
Matty Eckler Recreation Centre,0.888229548,244,6901,"43.6680898,-79.33898669999996"
Warden Hilltop Community Centre,0.888368056,248,2404,"43.7161436,-79.28219939999997"
Avondale Public School,0.888541667,0,339,"43.7595985,-79.40040110000001"
Weston CI,0.888647343,64,4773,"43.7084321,-79.51138019999996"
Frankland Community Centre,0.890013228,66,3437,"43.6771192,-79.34989989999997"
Terry Fox ES,0.89047619,71,909,"43.8158167,-79.31874089999997"
Barbara Frum Community Centre,0.891176471,52,1680,"43.7207412,-79.43214820000003"
St. Jean Brebeuf CSS,0.892857143,13,591,"43.8019434,-79.17407639999999"
Bloordale Community School,0.894575725,535,6624,"43.6392378,-79.57263569999998"
McGregor Park Community Centre,0.894652778,486,8899,"43.7471605,-79.28070220000001"
Roding Community Centre,0.896428571,19,1702,"43.7265239,-79.49358860000001"
Wallace-Emerson Community Centre,0.896833333,38,3821,"43.66683219999999,-79.43962169999998"
Birchmount Community Centre,0.897250567,427,16407,"43.69528589999999,-79.26132469999999"
Regent Park Aquatic Centre,0.898346561,"1,173",6115,"43.6542599,-79.36063589999998"
Ellesmere Community Centre,0.899025471,474,6583,"43.7607276,-79.29901899999999"
Calico PS,0.9,0,349,"43.738294,-79.50395650000002"
Adam Beck Community Centre,0.900277778,23,2802,"43.6820169,-79.2886282"
L'Amoreaux Community Recreation Centre,0.901890756,"2,118",4875,"43.812911,-79.30359770000001"
Pleasant View JHS,0.902857143,117,1491,"43.7876445,-79.3335295"
Kingsview Park,0.903571429,12,1196,"43.697866,-79.55384629999998"
Silver Springs ES,0.904761905,21,921,"43.8060827,-79.3064152"
Oakridge Community Recreation Centre,0.906818182,515,3720,"43.6945218,-79.28299199999998"
Emery Collegiate Institute,0.907449495,290,6776,"43.74845029999999,-79.538566"
Regent Park South Community Centre,0.908928571,111,1861,"43.65938389999999,-79.3623078"
East York Community Centre,0.909655449,256,7385,"43.6909001,-79.34910789999998"
Sloane PS,0.910714286,16,1207,"43.73117449999999,-79.31046529999998"
St. Isaac Jogues CSS,0.911038961,3,1277,"43.7624257,-79.32173399999999"
James S. Bell CS,0.914087302,91,3045,"43.59243710000001,-79.53031010000001"
Dante Alighieri Academy,0.914285714,0,755,"43.7105899,-79.45755559999998"
Charlottetown JES,0.914285714,33,602,"43.7820906,-79.14268249999998"
Withrow Park,0.915364583,52,1366,"43.6698716,-79.34611559999996"
Balmy Beach Community Recreation Centre,0.915885417,14,1530,"43.6764859,-79.2896849"
Curran Hall Community Centre,0.916666667,10,941,"43.77847389999999,-79.21162950000002"
Moss Park,0.916666667,18,495,"43.6549206,-79.37084279999999"
Centennial Recreation Centre-Scarborough,0.91829932,"6,672",20752,"43.7733929,-79.23595169999999"
Cedar Drive JES,0.919047619,88,909,"43.7463979,-79.21339219999999"
Dieppe Park,0.919642857,17,678,"43.6919309,-79.335642"
Tall Pines Community Centre,0.921875,20,560,"43.7986994,-79.1509729"
Grandravine Community Recreation Centre,0.922303922,560,2173,"43.7521239,-79.49183119999998"
Don Montgomery Community Centre,0.923928571,"1,152",7527,"43.7329285,-79.26167699999996"
Jenner Jean-Marie Community Centre,0.924361251,"1,092",2453,"43.7028971,-79.34277120000002"
Hilltop Community School,0.924915612,131,6248,"43.6894687,-79.5318911"
Scarborough Village Recreation Centre,0.925,268,1631,"43.7410772,-79.21656489999998"
Jimmie Simpson Park,0.925714286,227,2566,"43.7724257,-79.25771299999997"
McKee PS,0.926330267,44,2854,"43.7741305,-79.41025180000003"
Maurice Cody Community Centre,0.927056277,27,2167,"43.7052453,-79.37805730000002"
Humberwood Community Centre,0.927888889,259,4305,"43.72888529999999,-79.61897799999997"
O'Connor Community Centre,0.929214559,192,5794,"43.7188944,-79.3011323"
Cummer Park,0.932142857,5,1232,"43.79916619999999,-79.37119469999999"
Dentonia Park Golf Course,0.933333333,17,448,"43.6967671,-79.28950880000002"
Military Trail JES,0.933333333,39,930,"43.7896835,-79.19893709999997"
Cedarbrook Jr PS,0.933333333,0,541,"43.7475128,-79.22978360000002"
Antibes Community Centre,0.933654689,"3,514",13486,"43.7810253,-79.44691879999999"
Malvern Recreation Centre,0.933792271,"1,405",10327,"43.8093594,-79.21621240000002"
Mitchell Field Community Centre,0.934848485,32,3798,"43.7746895,-79.40831689999999"
Bellmere Elementary School,0.935714286,38,832,"43.7716825,-79.2350705"
Vradenburg ES,0.935714286,32,620,"43.7870239,-79.30183669999997"
Earl Bales Community Centre,0.935833333,53,2102,"43.752227,-79.432412"
Memorial Pool And Health Club,0.9359375,415,11949,"43.6479023,-79.51853979999999"
Pelmo Park Community Centre,0.936111111,18,968,"43.7137237,-79.51853979999999"
Camp Naorca / FVOEC,0.937083333,38,6838,"43.7676097,-79.45140219999996"
St. Robert CSS,0.937142857,87,1593,"43.7491949,-79.4475342"
Riverdale Farm,0.937152778,40,2447,"43.6665164,-79.36169189999998"
Scarborough Civic Centre,0.9375,7,411,"43.7724257,-79.25771299999997"
West Hill Public School,0.938095238,34,930,"43.7724084,-79.18677200000002"
Secord Community Centre,0.938888889,460,3002,"43.6922353,-79.3011323"
Humbercrest ES,0.940625,7,1295,"43.6603304,-79.49095249999999"
Amesbury Community Centre,0.940936426,182,3227,"43.7065208,-79.48234079999997"
Sir Sandford Fleming Academy,0.941666667,13,528,"43.7289643,-79.44173180000001"
Parkway Forest Community Centre,0.942105263,486,3332,"43.7785175,-79.34655570000001"
High Park,0.942753623,495,2190,"43.61649980000001,-79.50149640000001"
Maryvale JES,0.942857143,33,962,"43.75389819999999,-79.30817609999997"
Dentonia Park,0.943589744,34,1389,"43.6920283,-79.29109389999996"
Glen Long Community Centre,0.945238095,38,2045,"43.7089778,-79.45614920000003"
Etobicoke Civic Centre,0.945652174,0,822,"43.6439337,-79.56561210000001"
Burrows Hall Community Centre,0.947222222,97,3559,"43.7923793,-79.23348450000003"
St. Paschal Baylon CSS,0.948571429,73,1615,"43.791975,-79.4318844"
Van Horne Park,0.95,100,1256,"43.78748239999999,-79.33652219999999"
Albion Pool And Health Club,0.952402402,409,9216,"43.7398859,-79.58387240000002"
Goulding Community Centre,0.954921603,168,3647,"43.7908924,-79.42186019999997"
Fairbank Memorial Community Centre,0.955,171,3661,"43.6917299,-79.4475342"
Seneca Village Community Centre,0.959375,27,1428,"43.7940309,-79.351132"
Selwyn ES,0.96,21,679,"43.70856620000001,-79.30623909999997"
West Rouge Community Centre,0.96025641,58,2419,"43.7914676,-79.1248645"
Beverly Glen Elementary School,0.961904762,22,980,"43.7986108,-79.32437490000001"
C.R.Marchant MS,0.9625,8,732,"43.7018116,-79.51309329999998"
Carmine Stefano Community Centre,0.964172336,92,2360,"43.7258122,-79.53716079999998"
Glen Ravine JES,0.964285714,82,672,"43.7379827,-79.25410110000001"
North Agincourt JES,0.964285714,17,637,"43.7970461,-79.2764747"
